,timestamp,attention,meditation,theta,delta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,poor_signal,blink_strength,IBI,BPM,CVNN,SDNN,RMSSD,SDNN_over_RMSSD,pNN10,pNN20,pNN30,pNN40,pNN50,LF,HF,LF_over_HF,stimu_num
14,2023-09-19_14:15:39.049929,27,100,50228,92599,47343,17521,7181,7466,3011,3462,0,0,634,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99
15,2023-09-19_14:15:40.077392,27,100,901439,980856,547942,51876,12136,58404,57613,50482,0,0,664,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99
16,2023-09-19_14:15:41.094019,35,91,25623,41674,10204,16406,15386,23686,27753,9518,0,0,580,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99
17,2023-09-19_14:15:42.113243,17,93,219331,1083481,58302,61012,9229,11195,14469,6522,0,0,632,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99
18,2023-09-19_14:15:43.131078,26,87,23528,420952,9001,10344,10327,8894,11137,7395,0,0,662,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99
19,2023-09-19_14:15:44.149174,41,81,30694,101484,17352,2224,6990,15900,10108,8108,0,0,694,93,0.092368994,65.39724765,39.78389901,1.643811926,0.866666667,0.633333333,0.5,0.4,0.266666667,0.0,0.0,0.0,-99
20,2023-09-19_14:15:45.160366,27,74,109983,122311,11408,5894,5948,10598,7150,10075,0,0,636,93,0.091560529,64.16561904,40.97265699,1.566059508,0.833333333,0.633333333,0.5,0.4,0.266666667,0.0,0.0,0.0,-99
21,2023-09-19_14:15:46.172933,50,74,23244,408511,19760,24683,16672,42057,12116,3646,0,0,690,92,0.090268812,63.03170278,42.10168315,1.497130235,0.833333333,0.666666667,0.533333333,0.433333333,0.3,0.0,0.0,0.0,-99
22,2023-09-19_14:15:47.194559,63,69,2547,21645,1700,3681,5839,10609,7342,3325,0,0,682,91,0.086023034,59.48206079,41.949066,1.417959122,0.866666667,0.7,0.533333333,0.433333333,0.3,0.0,0.0,0.0,-99
23,2023-09-19_14:15:48.224649,63,70,13032,6022,2966,10950,6075,10689,16785,14883,0,0,704,89,0.085021923,58.67079531,42.04267126,1.395505888,0.866666667,0.7,0.5,0.433333333,0.3,0.0,0.0,0.0,-99
24,2023-09-19_14:15:49.249931,56,83,63305,140174,31736,7083,3169,2752,3500,3423,0,0,708,87,0.084696404,58.48004408,40.19778687,1.454807556,0.833333333,0.666666667,0.466666667,0.4,0.3,0.0,0.0,0.0,-99
25,2023-09-19_14:15:50.269795,43,78,136582,251891,41077,8600,13343,19666,29802,14275,0,0,622,88,0.085360455,58.90440466,43.06050274,1.367945122,0.833333333,0.666666667,0.466666667,0.4,0.333333333,0.0,0.0,0.0,-99
26,2023-09-19_14:15:51.294265,35,84,18414,31474,13096,13487,4152,15041,7266,3144,0,0,670,88,0.084906957,58.64806523,43.62062151,1.344503201,0.833333333,0.633333333,0.5,0.433333333,0.366666667,0.0,0.0,0.0,-99
27,2023-09-19_14:15:52.318902,24,34,0,0,0,0,0,0,0,0,0,0,656,64,0.056694241757593467,44.144898081576045,41.0644835593728,,0.4465454341644462,0.3680997415451913,0.28986794682375194,0.22786580208773902,0.1780806180257709,2.9197108732889916,45.86647116771427,0.11775317255299833,-99
28,2023-09-19_14:15:53.337806,37,48,24567,45818,12920,8144,7277,7570,3475,0,0,0,725,83,0.08618236832367239,63.178624660213245,62.30020830450752,,0.6184998556601893,0.5160592723291256,0.4084801682426006,0.32531953407812486,0.25771180110125425,60.985673156512746,77.5200808485718,0.5446272620255062,-99
29,2023-09-19_14:15:54.355078,52,64,97101,261527,50190,44717,23388,27048,19243,37580,0,0,808,106,0.12142621300125875,85.92749959026061,87.6808842472934,,0.8240176565024974,0.6928986761424597,0.5502440303578074,0.44179503094713457,0.35288600762521805,130.38539413162,115.3520842000627,1.0548219016389129,-99
30,2023-09-19_14:15:55.373838,29,39,0,0,0,0,0,0,0,0,0,0,681,71,0.06747206580747905,51.10166950001413,48.8260788700137,,0.509394272503769,0.4221785174796139,0.33322036698356583,0.26348485621935425,0.20718558263410444,24.142650329055698,57.43577296515301,0.27377440426740024,-99
31,2023-09-19_14:15:56.390628,34,45,12857,10995,6903,2239,4676,4426,929,0,0,0,712,80,0.08049273409215643,59.506131528021385,58.202847077770386,,0.5853218319356119,0.4875109815673889,0.3855943415099813,0.3065161662792593,0.2423472338030534,49.78204223230938,71.41262397817083,0.46226335102670235,-99
32,2023-09-19_14:15:57.404843,29,39,0,0,0,0,0,0,0,0,0,0,682,71,0.06767022111285807,51.22957297649436,48.9687794078857,,0.5105497776127967,0.42317278091444166,0.3340174213811813,0.2641397290875782,0.2077206909382775,24.532843936729442,57.64847995685025,0.27664292714111566,-99
33,2023-09-19_14:15:58.420655,60,80,27327,8264,1698,6760,19198,15764,6242,1740,0,0,736,82,0.071195855,48.5698123,55.82361384,0.870058546,0.833333333,0.666666667,0.5,0.4,0.366666667,0.0,0.0,0.0,-99
34,2023-09-19_14:15:59.442557,64,61,38042,6789,3473,4295,8908,21681,4252,3304,0,0,720,82,0.070324122,48.17671176,55.89768979,0.861873039,0.833333333,0.633333333,0.466666667,0.366666667,0.333333333,0.0,0.0,0.0,-99
35,2023-09-19_14:16:00.455275,61,57,16495,26397,10946,7079,9862,10173,2088,6422,0,0,648,83,0.069137227,47.48805698,56.46481969,0.841020254,0.866666667,0.666666667,0.466666667,0.4,0.366666667,0.0,0.0,0.0,-99
36,2023-09-19_14:16:01.475603,61,66,13922,34214,13532,4724,6239,11101,9607,4406,0,0,648,100,0.062927522,43.38642901,53.78116578,0.806721617,0.766666667,0.6,0.4,0.333333333,0.3,0.0,0.0,0.0,-99
37,2023-09-19_14:16:02.493620,53,78,15240,8802,6000,18074,14544,6004,7253,2658,0,0,648,122,0.062080887,42.75303758,52.63930615,0.812188471,0.666666667,0.5,0.333333333,0.3,0.266666667,0.0,0.0,0.0,-99
38,2023-09-19_14:16:03.504432,47,88,52613,69725,10879,18945,9326,15153,4248,1279,0,0,648,160,0.063416604,43.51224604,50.403886,0.863271654,0.6,0.433333333,0.266666667,0.233333333,0.2,0.0,0.0,0.0,-99
39,2023-09-19_14:16:04.523271,47,78,51489,274642,5083,5079,3372,16313,6020,4065,0,0,648,175,0.064988428,44.46941521,50.18860978,0.886045965,0.533333333,0.4,0.266666667,0.233333333,0.2,0.0,0.0,0.0,-99
40,2023-09-19_14:16:05.539234,47,77,32140,86460,15717,14017,10332,20875,6353,3665,0,0,766,148,0.068527088,46.87709699,54.6979165,0.857017963,0.5,0.4,0.3,0.266666667,0.233333333,0.0,0.0,0.0,-99
41,2023-09-19_14:16:06.558601,41,54,275190,373581,7176,7264,45244,20101,12989,4629,0,0,754,137,0.07054204,48.36362269,52.36213425,0.923637346,0.533333333,0.4,0.3,0.266666667,0.233333333,0.0,0.0,0.0,-99
42,2023-09-19_14:16:07.577233,35,50,117950,1681273,23939,3089,13802,11974,3702,4174,0,0,700,124,0.068222337,46.95061235,52.13642581,0.900533775,0.533333333,0.4,0.3,0.266666667,0.233333333,0.0,0.0,0.0,-99
43,2023-09-19_14:16:08.604881,34,67,13718,46047,25675,12102,2979,10056,14658,6562,0,0,764,106,0.073895107,51.33246753,53.86189236,0.953038694,0.533333333,0.4,0.3,0.266666667,0.233333333,0.0,0.0,0.0,-99
44,2023-09-19_14:16:09.624478,27,61,15941,316515,72,3864,2644,2733,1059,1051,0,0,734,100,0.074411205,51.75051261,54.14794548,0.955724398,0.533333333,0.4,0.3,0.233333333,0.233333333,0.0,0.0,0.0,-99
45,2023-09-19_14:16:10.643770,51,75,2817,2016,1350,3802,6414,14845,10389,2379,0,0,622,95,0.077006269,53.33454165,58.00356707,0.919504512,0.566666667,0.433333333,0.333333333,0.266666667,0.266666667,0.0,0.0,0.0,-99
46,2023-09-19_14:16:11.654897,64,83,9128,5400,10528,1393,2599,10762,3648,4717,0,0,786,82,0.099100198,69.52869911,85.2363853,0.815716186,0.6,0.466666667,0.4,0.333333333,0.333333333,0.0,0.0,0.0,-99
47,2023-09-19_14:16:12.671113,67,78,11041,36138,12627,5336,5598,9411,3741,2085,0,0,744,79,0.099442979,69.83548923,85.434387,0.817416636,0.6,0.5,0.433333333,0.366666667,0.333333333,0.0,0.0,0.0,-99
48,2023-09-19_14:16:13.689162,77,83,21315,68643,15166,5941,9926,22163,6079,1226,0,0,752,79,0.099442979,69.83548923,85.18539619,0.819805886,0.566666667,0.466666667,0.433333333,0.366666667,0.333333333,0.0,0.0,0.0,-99
49,2023-09-19_14:16:14.706027,63,87,11802,145166,3281,4088,5092,5738,1882,1609,0,0,754,78,0.097888252,69.29835656,75.01540072,0.923788394,0.5,0.4,0.366666667,0.333333333,0.3,0.0,0.0,0.0,-99
50,2023-09-19_14:16:15.720894,54,70,83089,37475,6201,4571,11063,13346,13630,6297,0,0,696,79,0.094097057,66.23178156,74.23912901,0.892141145,0.5,0.4,0.366666667,0.333333333,0.3,0.0,0.0,0.0,-99
51,2023-09-19_14:16:16.740715,35,46,16901,23021,8981,4278,5574,5511,1808,0,0,0,716,81,0.08245764919284153,60.774426978831656,59.61787071897066,,0.5967798619555734,0.4973701333746817,0.3934979614455997,0.31300990908034665,0.24765338690029448,53.6512160121508,73.52183412123416,0.49070772651512673,-99
52,2023-09-19_14:16:17.759869,20,30,0,0,0,0,0,0,0,0,0,0,635,59,0.04756592327567475,38.25283444985566,34.49077131510501,,0.39331537493128854,0.3222975195422286,0.253150452054023,0.19769811066569012,0.1534300591448564,0.0,36.06780764048993,0.0,-99
53,2023-09-19_14:16:18.776096,35,46,17165,23806,9117,4411,5633,5582,1866,0,0,0,717,81,0.08258600379091283,60.857276132348595,59.7103046315933,,0.5975283374685298,0.49801416500083584,0.39401425141649504,0.31343410132505045,0.24800000195143013,53.903962935010924,73.65961453732767,0.4925658049542069,-99
54,2023-09-19_14:16:19.793002,38,49,29928,61760,15674,10847,8468,9010,4640,0,0,0,731,85,0.08878704951863116,64.85987048565653,64.17595625278852,,0.6336885604107716,0.5291285124717381,0.41895716554962353,0.33392760561922796,0.2647456099335734,66.11462971085274,80.31603879807193,0.5823329776114942,-99
55,2023-09-19_14:16:20.808971,53,65,102214,276732,52817,47295,24524,28421,20355,40545,0,0,813,107,0.12391053116417838,87.53105458523099,89.4699533686864,,0.8385044870428824,0.7053639831154171,0.5602368827472184,0.4500053211425965,0.35959478222322083,135.27734019758537,118.01884016626175,1.0907852257714215,-99
56,2023-09-19_14:16:21.825777,58,70,125145,344927,64599,58858,29617,34579,25340,53845,0,0,839,114,0.13505267510242802,94.72298387735569,97.49391179863704,,0.9034777877654852,0.7612707693717842,0.6050547331088828,0.4868283965835965,0.3896835741243241,157.2176729692472,129.97921596154862,1.2520804012297106,-99
57,2023-09-19_14:16:22.842405,54,83,20611,46745,16112,4666,14969,4635,6132,4191,0,0,534,78,0.112342157,82.65386998,97.42547992,0.848380424,0.666666667,0.566666667,0.533333333,0.433333333,0.366666667,0.0,0.0,0.0,-99
58,2023-09-19_14:16:23.863276,47,96,8079,13167,18925,12066,4208,8770,3194,4271,0,0,702,82,0.11966321,87.80088585,102.2984141,0.858281985,0.7,0.6,0.566666667,0.466666667,0.4,0.0,0.0,0.0,-99
59,2023-09-19_14:16:24.882736,59,71,129339,357400,66754,60973,30549,35705,26252,56277,0,0,844,116,0.13709062027973742,96.03841811493729,98.96152767901651,,0.9153616788366593,0.7714963566610407,0.6132521071966813,0.49356349257810006,0.39518694122187326,161.23065248273895,132.16681920073657,1.2815819699376925,-99
60,2023-09-19_14:16:25.900137,27,38,0,0,0,0,0,0,0,0,0,0,675,70,0.0647021094899384,49.31374339814078,46.83130888069181,,0.4932417971987053,0.408279993403596,0.32207857161313314,0.25433057576719403,0.19970545675568036,18.68824552988775,54.462402788109706,0.2336761437597638,-99
61,2023-09-19_14:16:26.925141,66,78,162754,456771,83923,77821,37971,44678,33516,75656,0,0,882,126,0.15332640823226232,106.51814621786039,110.65364800438172,,1.0100375992837547,0.8529609950462544,0.6785584897916889,0.5472202796321204,0.4390308592112063,193.2010338081568,149.5948946520123,1.516613421785681,-99
62,2023-09-19_14:16:27.937571,52,63,95518,256818,49376,43919,23036,26623,18899,36661,0,0,806,105,0.12065684032657548,85.43089194398709,87.12682441886076,,0.8195312055611894,0.6890382742383568,0.5471493270765173,0.43925237235296133,0.3508083559245008,128.87039911795603,114.5262120549141,1.0436843592374148,-99
63,2023-09-19_14:16:28.954389,36,47,21822,37656,11510,6760,6667,6833,2878,0,0,0,722,82,0.08484877569346078,62.31782947087312,61.339828337545114,,0.610723262978889,0.5093678421570236,0.40311596228049096,0.3209122151364564,0.2541105021633063,58.35965555605487,76.0885548241771,0.5253219955999447,-99
64,2023-09-19_14:16:29.971507,51,63,93299,250221,48236,42800,22544,26027,18417,35375,0,0,803,105,0.11957902235174389,84.73519184284592,86.35063927235467,,0.8132461143084586,0.6836302181697825,0.5428139419853871,0.4356903493869284,0.34789776340911904,126.74803513072516,113.36924369322858,1.0280817211521391,-99
65,2023-09-19_14:16:30.990674,41,52,42042,97787,21899,16955,11159,12263,7274,5647,0,0,745,89,0.09467347130152283,68.65938424896822,68.41503303629116,,0.6680141134461224,0.5586642038301326,0.4426345450641378,0.3533813260692814,0.28064159198596217,77.70576095693598,86.63473446410612,0.6675456116929527,-99
66,2023-09-19_14:16:32.010331,64,76,151737,424008,78263,72266,35524,41720,31121,69267,0,0,870,123,0.14797350519901145,103.06300326367702,106.79878204174463,,0.9788231597247397,0.8261022856821006,0.6570271212799996,0.5295297567566171,0.4245756173540838,182.6604704753866,143.84889709281464,1.4391240769392672,-99
67,2023-09-19_14:16:33.024770,50,63,14655,46558,154,1778,4628,5713,8052,1735,0,0,552,90,0.13203449,94.55429951,108.5249058,0.871268202,0.7,0.533333333,0.5,0.433333333,0.4,0.0,0.0,0.0,-99
68,2023-09-19_14:16:34.041324,53,67,23866,63570,9358,8819,10631,18359,5073,1767,0,0,746,93,0.139083748,98.63819409,114.3473233,0.862619179,0.733333333,0.566666667,0.533333333,0.466666667,0.433333333,0.0,0.0,0.0,-99
69,2023-09-19_14:16:35.059095,47,66,41931,15295,10056,6510,7338,6769,8330,3901,0,0,702,92,0.138935155,98.29199131,114.1318052,0.861214725,0.766666667,0.6,0.566666667,0.5,0.433333333,0.0,0.0,0.0,-99
70,2023-09-19_14:16:36.079784,51,61,48593,308105,7622,12250,4614,18791,17449,8520,0,0,674,93,0.13933616,98.45493047,114.253801,0.86172127,0.733333333,0.6,0.566666667,0.466666667,0.4,0.0,0.0,0.0,-99
71,2023-09-19_14:16:37.094136,53,75,16117,48289,4083,18141,20483,16773,9387,4784,0,0,674,104,0.139682758,98.13179347,113.4043726,0.865326365,0.7,0.566666667,0.533333333,0.433333333,0.366666667,0.0,0.0,0.0,-99
72,2023-09-19_14:16:38.109835,57,74,26197,35751,11136,6874,5272,28801,14574,4021,0,0,718,102,0.136525884,95.11303217,110.9010121,0.857638992,0.7,0.533333333,0.466666667,0.4,0.366666667,0.0,0.0,0.0,-99
73,2023-09-19_14:16:39.126736,53,77,62225,167093,34714,8766,8743,6255,6251,1760,0,0,736,98,0.12620576,87.20818004,109.7960492,0.7942743,0.7,0.5,0.433333333,0.366666667,0.333333333,0.0,0.0,0.0,-99
74,2023-09-19_14:16:40.151918,51,83,75883,578032,32554,52453,38743,31919,17661,8234,0,0,720,95,0.11973649,81.8119524,110.8910618,0.737768681,0.7,0.5,0.466666667,0.4,0.366666667,0.0,0.0,0.0,-99
75,2023-09-19_14:16:41.171923,37,88,204939,2409392,134342,72949,77028,26534,13270,14256,0,0,710,95,0.114054309,77.4808937,96.53871834,0.802588796,0.7,0.466666667,0.433333333,0.4,0.366666667,0.0,0.0,0.0,-99
76,2023-09-19_14:16:42.192566,27,93,68026,352629,33615,35399,19330,26691,18919,7848,0,0,682,95,0.10614295,72.63008253,96.6786358,0.751252662,0.7,0.466666667,0.4,0.366666667,0.333333333,0.0,0.0,0.0,-99
77,2023-09-19_14:16:43.211755,34,83,134991,608643,21701,6277,25345,17596,13221,7466,0,0,668,90,0.097881291,67.49893826,92.57690186,0.729112088,0.733333333,0.5,0.433333333,0.4,0.333333333,0.0,0.0,0.0,-99
78,2023-09-19_14:16:44.229359,24,74,101933,801031,12839,3909,2880,8120,7330,1882,0,0,668,95,0.09668286,66.26643192,91.85821158,0.721399108,0.7,0.466666667,0.4,0.366666667,0.3,0.0,0.0,0.0,-99
79,2023-09-19_14:16:45.239537,44,63,11958,6174,4458,3282,9323,22027,6377,3600,0,0,674,97,0.093054044,63.17749248,89.73216853,0.704067376,0.766666667,0.466666667,0.4,0.366666667,0.3,0.0,0.0,0.0,-99
80,2023-09-19_14:16:46.256180,41,57,65078,42919,2694,28157,19169,10397,5297,2008,0,0,732,96,0.093466777,63.70072388,90.3143934,0.705321948,0.766666667,0.466666667,0.4,0.366666667,0.3,0.0,0.0,0.0,-99
81,2023-09-19_14:16:47.274106,40,63,151835,222363,35567,15624,16362,20000,15770,7353,0,0,742,94,0.096089281,65.9428709,90.39301163,0.729512931,0.766666667,0.5,0.4,0.366666667,0.3,0.0,0.0,0.0,-99
82,2023-09-19_14:16:48.286844,47,67,34229,13907,7073,8268,11019,7852,5336,6602,0,0,734,94,0.096658084,66.42987949,90.36783071,0.735105391,0.733333333,0.5,0.4,0.366666667,0.3,0.0,0.0,0.0,-99
83,2023-09-19_14:16:49.304581,17,70,276462,172454,54412,48266,26804,7788,6562,2419,0,0,806,93,0.100825763,69.5899418,85.01683403,0.818543087,0.733333333,0.533333333,0.433333333,0.4,0.333333333,0.0,0.0,0.0,-99
84,2023-09-19_14:16:50.321927,17,66,81510,62271,1770,18111,14671,10985,7687,6333,0,0,784,86,0.0861216,59.82006352,61.08106541,0.979355274,0.733333333,0.533333333,0.433333333,0.4,0.333333333,0.0,0.0,0.0,-99
85,2023-09-19_14:16:51.339801,10,64,63699,227198,5465,8423,4528,2808,4181,4392,0,0,756,81,0.086908402,60.4303088,51.14415057,1.181568334,0.733333333,0.533333333,0.4,0.366666667,0.3,0.0,0.0,0.0,-99
86,2023-09-19_14:16:52.352680,17,56,11825,410860,879,1622,2061,6218,4083,1470,0,0,626,81,0.069851022,49.04007432,53.9948912,0.90823545,0.766666667,0.566666667,0.433333333,0.4,0.333333333,0.0,0.0,0.0,-99
87,2023-09-19_14:16:53.365540,37,60,13546,38370,6079,15625,20547,11454,4749,5172,0,0,718,81,0.057093471,40.39933993,43.69802331,0.92451184,0.8,0.6,0.466666667,0.433333333,0.366666667,0.0,0.0,0.0,-99
88,2023-09-19_14:16:54.376327,40,67,121910,112689,77668,6229,17690,36632,19396,27804,0,0,678,83,0.05699647,40.17871189,43.29211125,0.92808391,0.8,0.566666667,0.4,0.366666667,0.333333333,0.0,0.0,0.0,-99
89,2023-09-19_14:16:55.387473,61,77,8191,11173,6602,12112,11843,19753,16645,16975,0,0,642,84,0.059383037,41.73439828,43.40030192,0.961615391,0.833333333,0.6,0.433333333,0.366666667,0.333333333,0.0,0.0,0.0,-99
90,2023-09-19_14:16:56.405390,51,83,99696,585077,4861,43777,26955,15892,27725,7192,0,0,748,85,0.059756325,42.14414418,47.65537202,0.884352433,0.833333333,0.6,0.433333333,0.4,0.366666667,0.0,0.0,0.0,-99
91,2023-09-19_14:16:57.423437,44,91,38928,1222322,52258,21604,8163,14815,15905,6696,0,0,580,87,0.068328857,48.1627334,57.70794483,0.834594501,0.866666667,0.633333333,0.466666667,0.433333333,0.4,0.0,0.0,0.0,-99
92,2023-09-19_14:16:58.438746,35,46,14808,16796,7906,3223,5109,4949,1353,0,0,0,714,80,0.08144060919672971,60.117957292222314,58.88545452549611,,0.5908491859671363,0.4922670367002968,0.3894070480082772,0.30964874800480385,0.244906922219197,51.6485317818582,72.43010701559373,0.47598491863092685,-99
93,2023-09-19_14:16:59.458460,30,40,0,0,0,0,0,0,0,0,0,0,687,73,0.06980903281550323,52.610113617491436,50.50903380476191,,0.5230218527102951,0.4339044757628555,0.34262051817944306,0.27120817346570464,0.2134964429473333,28.74444277731409,59.944356931763224,0.3076046532471766,-99
94,2023-09-19_14:17:00.482506,50,61,87391,232650,45200,39821,21231,24441,17132,31948,0,0,796,103,0.11670810851508637,82.88210060372242,84.28316523782618,,0.7965049243640813,0.6692251299644982,0.5312660578936329,0.4262024198306658,0.3401450068951194,121.09483182585656,110.28750210448125,0.9865219860081995,-99
95,2023-09-19_14:17:01.496048,43,55,55937,139109,29038,23961,14245,15994,10294,13706,0,0,761,93,0.10142479312117324,73.0171657876379,73.27696319338835,,0.7073831671304284,0.5925396148830647,0.46979087446837503,0.37569340838209625,0.29887319251227445,90.99999303584602,93.88184476221846,0.7652786551279449,-99
96,2023-09-19_14:17:02.508711,35,46,17664,25290,9373,4663,5744,5716,1974,0,0,0,717,81,0.08282835478166196,61.013706636119124,59.88483246806764,,0.5989415613408502,0.49923018456708085,0.3949890773116362,0.31423503414956017,0.24865445845173112,54.38118360403534,73.91976275833288,0.49607411051837924,-99
97,2023-09-19_14:17:03.526356,43,54,52871,129990,27463,22415,13564,15171,9628,11928,0,0,757,92,0.09993497148597172,72.05552932721983,72.20407570107545,,0.698695554614969,0.5850642905486345,0.4637982572950484,0.37076977655946897,0.2948500051077881,88.06634017443113,92.2826169364327,0.7437117965966654,-99
98,2023-09-19_14:17:04.545060,30,41,0,0,0,0,170,0,0,0,0,0,689,73,0.07063597570792539,53.14388116203992,51.10455253342958,,0.5278440134656698,0.43805374180977485,0.3459467903058504,0.2739410927927048,0.21572956008727356,30.372801048707323,60.83202700759642,0.31957558987000495,-99
99,2023-09-19_14:17:05.563841,30,61,30353,386170,14932,10930,11767,27724,13212,15027,0,0,636,82,0.102591163,73.07910478,105.7616057,0.690979532,0.833333333,0.7,0.533333333,0.466666667,0.466666667,0.0,0.0,0.0,-99
100,2023-09-19_14:17:06.576106,41,70,26422,755374,5194,5425,2005,7166,6156,1872,0,0,702,83,0.10201189,72.761681,105.9231992,0.686928657,0.833333333,0.733333333,0.566666667,0.5,0.5,0.0,0.0,0.0,-99
101,2023-09-19_14:17:07.597127,53,78,82754,1191912,42796,14884,17115,23379,17781,11855,0,0,742,83,0.10211542,72.86956383,106.0734944,0.686972408,0.833333333,0.733333333,0.566666667,0.5,0.466666667,0.0,0.0,0.0,-99
102,2023-09-19_14:17:08.607959,48,78,35905,25264,20135,8491,5700,12774,11985,9544,0,0,826,82,0.106645743,76.54320494,106.6570398,0.717657316,0.833333333,0.766666667,0.6,0.533333333,0.5,0.0,0.0,0.0,-99
103,2023-09-19_14:17:09.624101,47,64,48420,6436,3589,2556,14368,20637,6479,3658,0,0,790,81,0.107827659,77.59278317,106.026672,0.731823245,0.866666667,0.8,0.633333333,0.533333333,0.5,0.0,0.0,0.0,-99
104,2023-09-19_14:17:10.641199,48,75,4837,387880,11030,4283,5566,4215,4076,3096,0,0,768,81,0.106460472,76.474106,105.2596134,0.726528471,0.866666667,0.8,0.6,0.5,0.466666667,0.0,0.0,0.0,-99
105,2023-09-19_14:17:11.657522,48,74,63702,356475,18021,13866,7300,14950,14828,10533,0,0,676,81,0.106231398,75.96961381,105.6030303,0.719388578,0.866666667,0.8,0.566666667,0.466666667,0.433333333,0.0,0.0,0.0,-99
106,2023-09-19_14:17:12.674458,57,69,14276,41524,5411,8073,7191,20486,7162,9605,0,0,676,88,0.106625311,75.9527631,104.1742572,0.729093397,0.8,0.733333333,0.533333333,0.433333333,0.4,0.0,0.0,0.0,-99
107,2023-09-19_14:17:13.697803,53,78,141248,210797,30784,9963,12055,28763,21818,12942,0,0,668,90,0.105077728,74.88539392,102.7034566,0.729141904,0.8,0.666666667,0.466666667,0.366666667,0.333333333,0.0,0.0,0.0,-99
